MAL_ID,Name,Score,Genres,Type,Episodes,Aired,Premiered,Licensors,Studios,Source,Ranked,Popularity
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,"Funimation, Bandai Entertainment",Sunrise,Original,28,39
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,"Sep 1, 2001",0,Sony Pictures Entertainment,Bones,Original,159,518
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,"Funimation, Geneon Entertainment USA",Madhouse,Manga,266,201
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,"Jul 2, 2002 to Dec 24, 2002",Summer 2002,"Funimation, Bandai Entertainment",Sunrise,Original,2481,1467
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,"Sep 30, 2004 to Sep 29, 2005",Fall 2004,0,Toei Animation,Manga,3710,4369
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,"Apr 6, 2005 to Mar 19, 2008",Spring 2005,"VIZ Media, Sentai Filmworks",Gallop,Manga,604,1003
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,"Apr 15, 2005 to Sep 27, 2005",Spring 2005,"VIZ Media, Discotek Media",J.C.Staff,Manga,468,687
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,"Sep 11, 2002 to Sep 10, 2003",Fall 2002,0,Nippon Animation,Manga,1317,3612
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,"Apr 17, 2004 to Feb 18, 2006",Spring 2004,Funimation,A.C.G.T.,Manga,360,1233
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,VIZ Media,Madhouse,Manga,30,169
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,VIZ Media,Studio Pierrot,Manga,660,8
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,0,"Oct 20, 1999 to ?",Fall 1999,"Funimation, 4Kids Entertainment",Toei Animation,Manga,95,31
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,VIZ Media,Trans Arts,Manga,675,1039
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,"Oct 6, 2004 to Dec 15, 2004",Fall 2004,0,Toei Animation,Manga,6493,7333
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,Funimation,Studio Comet,Manga,625,514
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,Funimation,Gonzo,Manga,1844,1284
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,"Funimation, Geneon Entertainment USA",Madhouse,Original,896,823
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,"Apr 29, 2005 to Oct 28, 2005",Spring 2005,Funimation,Gonzo,Light novel,2240,936
28,Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,Nozomi Entertainment,Sunrise,Manga,609,1666
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,"Oct 8, 2004 to Apr 1, 2005",Fall 2004,Geneon Entertainment USA,Studio Deen,Manga,1565,3985
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"ADV Films, Netflix","Gainax, Tatsunoko Production",Original,208,54
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,"Mar 15, 1997",0,Manga Entertainment,"Gainax, Production I.G",Original,1742,833
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,"Jul 19, 1997",0,Manga Entertainment,"Gainax, Production I.G",Original,102,195
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,"Media Blasters, NYAV Post",OLM,Manga,108,301
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,"Nov 18, 1995",0,Manga Entertainment,Production I.G,Manga,236,265
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,"Feb 20, 1999 to Sep 22, 1999",0,"ADV Films, Aniplex of America",Studio Deen,Manga,37,637
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,"Jan 10, 1996 to Sep 8, 1998",Winter 1996,Media Blasters,"Gallop, Studio Deen",Manga,220,345
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,"Dec 20, 1997",0,"ADV Films, Aniplex of America",Gallop,Manga,1397,2411
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,"Jul 16, 1988",0,"Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,333,197
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,"Apr 4, 2002 to Sep 26, 2002",Spring 2002,"Funimation, Bandai Entertainment",Bee Train,Original,3687,940
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,"Feb 21, 1993 to May 17, 1994",0,AnimEigo,AIC,Manga,2226,2360
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,"Jan 7, 2005 to Jul 8, 2005",Winter 2005,"Media Blasters, NYAV Post",AIC,Manga,2116,1083
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,"May 25, 2000 to Aug 25, 2000",0,Media Blasters,Hal Film Maker,Manga,6823,2419
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,"Apr 1, 2001 to Sep 23, 2001",Spring 2001,"ADV Films, Sentai Filmworks",Bones,Manga,2529,2232
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,"Apr 11, 2002 to Sep 26, 2002",Spring 2002,"Funimation, Geneon Entertainment USA",J.C.Staff,Manga,3012,1465
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,"Apr 17, 2004",0,"Sentai Filmworks, Geneon Entertainment USA",Digital Frontier,Manga,3206,1901
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,"Apr 5, 1999 to Sep 11, 1999",Spring 1999,ADV Films,Bee Train,Game,5738,4259
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,"Oct 2, 2003 to Dec 25, 2003",Fall 2003,Bandai Entertainment,"Bee Train, Xebec",Original,8501,4073
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,"Oct 7, 2004 to Mar 31, 2005",Fall 2004,Funimation,Madhouse,Manga,221,570
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,Funimation,AIC,Original,3455,1886
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,"Funimation, Geneon Entertainment USA",Madhouse,Manga,1804,332
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,"Nov 25, 2003 to Jun 10, 2004",Fall 2003,"ADV Films, Funimation",Gonzo,Manga,1120,742
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,"ADV Films, Discotek Media",Xebec,Manga,2761,891
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,"Jul 5, 2003 to Dec 27, 2003",Summer 2003,0,"feel., Zexcs",Visual novel,4589,1852
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,"Jul 11, 2004 to Sep 26, 2004",Summer 2004,"Discotek Media, Geneon Entertainment USA",Daume,Manga,5274,1146
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Oct 8, 2004 to Dec 24, 2004",Fall 2004,"Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,1782,846
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Oct 21, 2005 to Jan 27, 2006",Fall 2005,"Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,1146,1479
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,"Apr 9, 2002 to Oct 1, 2002",Spring 2002,"ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,555,554
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,"Apr 13, 2005 to Sep 21, 2005",Spring 2005,Funimation,Gonzo,Manga,1325,940
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,Funimation,Gonzo,Manga,1965,622
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,Sentai Filmworks,Sunrise,Original,6646,5061
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,"Jan 8, 2002 to Jun 18, 2002",Winter 2002,"ADV Films, Funimation",Gonzo,Light novel,1146,322
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,"Aug 26, 2003 to Oct 18, 2003",Summer 2003,"ADV Films, Funimation",Kyoto Animation,Light novel,452,571
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,"Jul 14, 2005 to Oct 20, 2005",Summer 2005,"ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,579,639
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,"Oct 30, 2004 to May 14, 2005",Fall 2004,Nozomi Entertainment,Group TAC,Manga,1158,1640
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,"Jul 5, 2004 to Dec 27, 2004",Summer 2004,"Funimation, Geneon Entertainment USA",Xebec,Original,2348,2523
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,Geneon Entertainment USA,Seven Arcs,Original,1828,1550
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Oct 2, 2005 to Dec 25, 2005",Fall 2005,Geneon Entertainment USA,Seven Arcs,Original,551,2075
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,"Jul 8, 2005 to Jan 6, 2006",Summer 2005,Funimation,Asread,Visual novel,3231,600
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,"Apr 7, 1979 to Jan 26, 1980",Spring 1979,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,867,1427
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,"Jan 25, 1996 to Jul 25, 1999",0,Bandai Entertainment,Sunrise,Original,511,1948
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,"Mar 25, 1989 to Aug 25, 1989",0,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,677,2444
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,"Aug 1, 1998",0,Bandai Entertainment,Sunrise,Original,4498,4660
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,"May 23, 1991 to Sep 24, 1992",0,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,2361,2791
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,655,2159
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,"Mar 1, 1986 to Jan 31, 1987",Spring 1986,Nozomi Entertainment,Sunrise,Original,5111,2941
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,"Mar 12, 1988",0,Bandai Entertainment,"Sunrise, Studio Hibari",Novel,1084,2773
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,"Apr 2, 1993 to Mar 25, 1994",Spring 1993,Nozomi Entertainment,"Sunrise, Studio Deen",Original,4632,3588
